condition_seed,noise_seed,node_count,trajectory,decision_index,action_id,action_kind,action_probability,counterfactual_task_gain,communication_penalty,resynchronization_penalty,topology_switch_penalty,training_objective,objective_gain_over_keep
1502,0,20,policy,9,0,keep,1.0,0.0,0.002958333333333333,0.0,0.0,-0.002958333333333333,0.0
1503,0,5,keep,0,0,keep,0.09136168658733368,0.0,0.004333333333333333,0.0,0.0,-0.004333333333333333,0.0
1503,0,5,keep,0,1,add,0.15797704458236694,0.0062744198832291875,0.005166666666666667,0.0004,0.001,-0.0002922467834374791,0.004041086549895854
1503,0,5,keep,0,2,swap,0.0037033429834991693,0.06725510674198865,0.004166666666666667,0.0004,0.001,0.06168844007532198,0.06602177340865531
1503,0,5,keep,0,25,add,0.16447365283966064,-0.0013116434145945544,0.005166666666666667,0.0004,0.001,-0.007878310081261221,-0.003544976747927888
1503,0,5,keep,0,30,swap,0.001550900167785585,0.006172192159114687,0.004333333333333333,0.0004,0.001,0.00043885882578135354,0.0047721921591146865
1503,0,5,keep,0,31,remove,0.002575403545051813,0.06281434569839428,0.0033333333333333335,0.0,0.001,0.058481012365060946,0.06281434569839428
1503,0,5,keep,0,35,remove,0.0014936868101358414,0.008230340787054313,0.0035,0.0,0.001,0.0037303407870543136,0.008063674120387648
1503,0,5,keep,3,0,keep,0.09150490909814835,0.0,0.0045000000000000005,0.0,0.0,-0.0045000000000000005,0.0
1503,0,5,keep,3,1,add,0.15538357198238373,0.0011504068939673928,0.005333333333333333,0.0004,0.001,-0.0055829264393659405,-0.00108292643936594
1503,0,5,keep,3,2,swap,0.002078108489513397,0.0004715727019986016,0.004333333333333333,0.0004,0.001,-0.005261760631334732,-0.0007617606313347312
1503,0,5,keep,3,25,add,0.1643434762954712,0.0006571791564593532,0.005333333333333333,0.0004,0.001,-0.00607615417687398,-0.0015761541768739796
1503,0,5,keep,3,30,swap,0.0019469108665362,-0.00347231371553014,0.004333333333333333,0.0004,0.001,-0.009205647048863473,-0.004705647048863473
1503,0,5,keep,3,31,remove,0.0022447756491601467,-0.0006383041023467761,0.0035,0.0,0.001,-0.005138304102346776,-0.0006383041023467753
1503,0,5,keep,3,35,remove,0.001970459707081318,-0.004074957403984669,0.0035,0.0,0.001,-0.00857495740398467,-0.004074957403984669
1503,0,5,keep,6,0,keep,0.09396933019161224,0.0,0.004,0.0,0.0,-0.004,0.0
1503,0,5,keep,6,1,add,0.1564674824476242,-0.000705646413279859,0.004833333333333333,0.0004,0.001,-0.006938979746613192,-0.002938979746613192
1503,0,5,keep,6,2,swap,0.00283947610296309,0.008924965378647953,0.0038333333333333336,0.0004,0.001,0.0036916320453146195,0.00769163204531462
1503,0,5,keep,6,25,add,0.16215933859348297,5.56197098418032e-05,0.004833333333333333,0.0004,0.001,-0.00617771362349153,-0.0021777136234915296
1503,0,5,keep,6,30,swap,0.002108881250023842,-0.023207002199074345,0.0038333333333333336,0.0004,0.001,-0.02844033553240768,-0.02444033553240768
1503,0,5,keep,6,31,remove,0.0027572636026889086,0.009706032996768088,0.003,0.0,0.001,0.005706032996768088,0.009706032996768088
1503,0,5,keep,6,35,remove,0.0021944742184132338,-0.02322899636998388,0.003,0.0,0.001,-0.02722899636998388,-0.02322899636998388
1503,0,5,keep,9,0,keep,0.09837573021650314,0.0,0.0021666666666666666,0.0,0.0,-0.0021666666666666666,0.0
1503,0,5,keep,9,1,add,0.1525111198425293,-0.00010766820685048639,0.0026666666666666666,0.0004,0.001,-0.004174334873517153,-0.002007668206850486
1503,0,5,keep,9,2,swap,0.0022395602427423,0.005186346633227923,0.002,0.0004,0.001,0.0017863466332279226,0.003953013299894589
1503,0,5,keep,9,25,add,0.15504662692546844,-0.00023867774125596597,0.0026666666666666666,0.0004,0.001,-0.004305344407922632,-0.0021386777412559657
1503,0,5,keep,9,30,swap,0.003706779330968857,-0.018681369142284354,0.0023333333333333335,0.0004,0.001,-0.02241470247561769,-0.020248035808951022
1503,0,5,keep,9,31,remove,0.0025273978244513273,0.005297563437464237,0.0015,0.0,0.001,0.0027975634374642366,0.004964230104130904
1503,0,5,keep,9,35,remove,0.003350486047565937,-0.01846181364792876,0.0018333333333333333,0.0,0.001,-0.021295146981262093,-0.019128480314595426
1503,0,5,policy,0,0,keep,0.09136168658733368,0.0,0.004333333333333333,0.0,0.0,-0.004333333333333333,0.0
1503,0,5,policy,0,1,add,0.15797704458236694,0.0062744198832291875,0.005166666666666667,0.0004,0.001,-0.0002922467834374791,0.004041086549895854
1503,0,5,policy,0,2,swap,0.0037033429834991693,0.06725510674198865,0.004166666666666667,0.0004,0.001,0.06168844007532198,0.06602177340865531
1503,0,5,policy,0,25,add,0.16447365283966064,-0.0013116434145945544,0.005166666666666667,0.0004,0.001,-0.007878310081261221,-0.003544976747927888
1503,0,5,policy,0,30,swap,0.001550900167785585,0.006172192159114687,0.004333333333333333,0.0004,0.001,0.00043885882578135354,0.0047721921591146865
1503,0,5,policy,0,31,remove,0.002575403545051813,0.06281434569839428,0.0033333333333333335,0.0,0.001,0.058481012365060946,0.06281434569839428
1503,0,5,policy,0,35,remove,0.0014936868101358414,0.008230340787054313,0.0035,0.0,0.001,0.0037303407870543136,0.008063674120387648
1503,0,5,policy,3,0,keep,1.0,0.0,0.006166666666666667,0.0,0.0,-0.006166666666666667,0.0
1503,0,5,policy,6,0,keep,0.10902028530836105,0.0,0.006833333333333334,0.0,0.0,-0.006833333333333334,0.0
1503,0,5,policy,6,1,add,0.38265809416770935,-0.0006634527536601986,0.007666666666666667,0.0004,0.001,-0.009730119420326866,-0.0028967860869935323
1503,0,5,policy,6,2,swap,0.0046231988817453384,0.008156549307129612,0.006666666666666667,0.0004,0.001,8.988264046294538e-05,0.006923215973796279
1503,0,5,policy,6,10,add,0.4053806662559509,-0.0001603127646386815,0.007333333333333333,0.0004,0.001,-0.008893646097972014,-0.0020603127646386804
1503,0,5,policy,6,18,swap,0.004313972312957048,-0.025113567880244103,0.006333333333333333,0.0004,0.001,-0.03284690121357743,-0.026013567880244098
1503,0,5,policy,6,19,remove,0.0019134803442284465,0.008894277446763188,0.005833333333333334,0.0,0.001,0.0020609441134298544,0.008894277446763188
1503,0,5,policy,6,26,remove,0.0017233859980478883,-0.024758356038740437,0.005833333333333334,0.0,0.001,-0.03159168937207377,-0.024758356038740433
1503,0,5,policy,9,0,keep,1.0,0.0,0.004,0.0,0.0,-0.004,0.0
1504,0,10,keep,0,0,keep,0.09131231904029846,0.0,0.00425,0.0,0.0,-0.00425,0.0
1504,0,10,keep,0,1,add,0.7905972003936768,0.021137238930452718,0.004583333333333333,0.0002,0.001,0.015353905597119383,0.019603905597119383
