resource_form,communication_multiplier,resynchronization_multiplier,switch_multiplier,mean_best_gain_over_keep,positive_best_nonkeep_fraction,best_type_match_fraction_to_current,node_count,state_count,best_keep_count,best_add_count,best_swap_count,best_remove_count
absolute,0.5,1.0,0.25,0.013707914198042959,0.5416666666666666,0.9642857142857143,5,24,11,2,8,3
absolute,0.5,1.0,0.25,0.009376952269953219,0.5,0.9642857142857143,10,16,8,2,5,1
absolute,0.5,1.0,0.25,0.005262300218787947,0.75,0.9642857142857143,20,16,4,7,4,1
absolute,0.5,1.0,0.5,0.013587628044829969,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.5,1.0,0.5,0.009251952269953219,0.5,1.0,10,16,8,2,5,1
absolute,0.5,1.0,0.5,0.005074800218787947,0.75,1.0,20,16,4,7,4,1
absolute,0.5,1.0,1.0,0.013358461378163301,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.5,1.0,1.0,0.009001952269953218,0.5,1.0,10,16,8,2,5,1
absolute,0.5,1.0,1.0,0.0046998002187879475,0.75,1.0,20,16,4,7,4,1
absolute,0.5,1.0,2.0,0.01290012804482997,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.5,1.0,2.0,0.008597440191496776,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.5,1.0,2.0,0.003992784702125432,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,0.5,2.0,0.0,0.013685304183482202,0.5,0.9642857142857143,5,24,12,0,8,4
absolute,0.5,2.0,0.0,0.009414452269953216,0.5,0.9642857142857143,10,16,8,2,5,1
absolute,0.5,2.0,0.0,0.005382352048310752,0.8125,0.9642857142857143,20,16,3,7,4,2
absolute,0.5,2.0,0.25,0.013568878044829967,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.5,2.0,0.25,0.009289452269953216,0.5,1.0,10,16,8,2,5,1
absolute,0.5,2.0,0.25,0.005193550218787947,0.75,1.0,20,16,4,7,4,1
absolute,0.5,2.0,0.5,0.013454294711496636,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.5,2.0,0.5,0.009164452269953216,0.5,1.0,10,16,8,2,5,1
absolute,0.5,2.0,0.5,0.005006050218787947,0.75,1.0,20,16,4,7,4,1
absolute,0.5,2.0,1.0,0.01322512804482997,0.4583333333333333,1.0,5,24,13,0,8,3
absolute,0.5,2.0,1.0,0.008914452269953216,0.5,1.0,10,16,8,2,5,1
absolute,0.5,2.0,1.0,0.004631050218787947,0.75,1.0,20,16,4,7,4,1
absolute,0.5,2.0,2.0,0.012766794711496637,0.4583333333333333,0.9285714285714286,5,24,13,0,8,3
absolute,0.5,2.0,2.0,0.008534940191496775,0.3125,0.9285714285714286,10,16,11,0,5,0
absolute,0.5,2.0,2.0,0.003930284702125432,0.6875,0.9285714285714286,20,16,5,6,4,1
absolute,1.0,0.0,0.0,0.01411318415587059,0.75,0.8571428571428571,5,24,6,3,11,4
absolute,1.0,0.0,0.0,0.009584243936619883,0.5,0.8571428571428571,10,16,8,2,5,1
absolute,1.0,0.0,0.0,0.005478185381644086,0.8125,0.8571428571428571,20,16,3,7,4,2
