information_id,timestamp,observer_id,target_id,modality,navigation_discrepancy,navigation_quality,frontend_quality,shadow_quality,feedback_quality,valid
sat_p01_s02->sat_p02_s02:infrared:8,16.0,sat_p01_s02,sat_p02_s02,INFRARED,0.0025842891707486436,0.9999966607303163,0.6246710303433901,0.6246689443983562,0.5799468847852173,True
sat_p01_s02->sat_p02_s02:infrared:9,18.0,sat_p01_s02,sat_p02_s02,INFRARED,0.0031325356150448454,0.9834666285392536,0.6092587751520776,0.5991856735067689,0.6246689443983562,True
sat_p01_s02->sat_p02_s02:infrared:10,20.0,sat_p01_s02,sat_p02_s02,INFRARED,0.003134731045401738,0.9999950867427065,0.6555278983706974,0.6555246775934697,0.5991856735067689,True
sat_p01_s02->sat_p02_s02:optical:0,0.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.0,1.0,0.6183498304541956,0.6183498304541956,1.0,True
sat_p01_s02->sat_p02_s02:optical:1,2.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.0001462709339287265,0.9834714433008401,0.6441346357653477,0.6334880199162074,0.6183498304541956,True
sat_p01_s02->sat_p02_s02:optical:2,4.0,sat_p01_s02,sat_p02_s02,OPTICAL,9.377879864961206e-05,0.9999999956027684,0.6346149535162848,0.6346149507257359,0.6334880199162074,True
sat_p01_s02->sat_p02_s02:optical:3,6.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.0011166672831502845,0.9834708406539988,0.5814287412618937,0.571818212949231,0.6346149507257359,True
sat_p01_s02->sat_p02_s02:optical:4,8.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.001115327593452221,0.999999378022373,0.6442725937255185,0.6442721930023795,0.571818212949231,True
sat_p01_s02->sat_p02_s02:optical:5,10.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.0019181581670298722,0.9834696445648989,0.6207505034118299,0.6104892769539144,0.6442721930023795,True
sat_p01_s02->sat_p02_s02:optical:6,12.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.001925723886903993,0.9999981457954747,0.6129591612223729,0.6129580246707224,0.6104892769539144,True
sat_p01_s02->sat_p02_s02:optical:7,14.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.002576540999095183,0.9834681894081772,0.6195659036315677,0.609323357463579,0.6129580246707224,True
sat_p01_s02->sat_p02_s02:optical:8,16.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.0025842891707486436,0.9999966607303163,0.6224315857385194,0.622429507271595,0.609323357463579,True
sat_p01_s02->sat_p02_s02:optical:9,18.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.0031325356150448454,0.9834666285392536,0.6205094055907294,0.610250293093211,0.622429507271595,True
sat_p01_s02->sat_p02_s02:optical:10,20.0,sat_p01_s02,sat_p02_s02,OPTICAL,0.003134731045401738,0.9999950867427065,0.6056780378239628,0.605675061971926,0.610250293093211,True
sat_p01_s02->sat_p02_s02:radar:0,0.0,sat_p01_s02,sat_p02_s02,RADAR,0.0,1.0,0.7360574613221101,0.7360574613221101,1.0,True
sat_p01_s02->sat_p02_s02:radar:1,2.0,sat_p01_s02,sat_p02_s02,RADAR,0.0013649001830930165,0.9834705377417375,0.5909466752892821,0.5811786445234423,0.7360574613221101,True
sat_p01_s02->sat_p02_s02:radar:2,4.0,sat_p01_s02,sat_p02_s02,RADAR,0.11564323443129933,0.9933356272564728,0.6644919069368603,0.660063485183976,0.5811786445234423,True
sat_p01_s02->sat_p02_s02:radar:3,6.0,sat_p01_s02,sat_p02_s02,RADAR,0.06833040405409876,0.9811781958903114,0.67351617300293,0.6608393835299617,0.660063485183976,True
sat_p01_s02->sat_p02_s02:radar:4,8.0,sat_p01_s02,sat_p02_s02,RADAR,0.058152987790477235,0.9983105437461605,0.6122938948409835,0.6112594510911566,0.6608393835299617,True
sat_p01_s02->sat_p02_s02:radar:5,10.0,sat_p01_s02,sat_p02_s02,RADAR,0.009653572046667525,0.983425629322228,0.6766723595536641,0.6654569410390191,0.6112594510911566,True
sat_p01_s02->sat_p02_s02:radar:6,12.0,sat_p01_s02,sat_p02_s02,RADAR,0.011826216374045316,0.9999300727481614,0.6268170977064856,0.6267732661094375,0.6654569410390191,True
sat_p01_s02->sat_p02_s02:radar:7,14.0,sat_p01_s02,sat_p02_s02,RADAR,0.04406859337499967,0.982516946415232,0.6313377333519545,0.6203000219296764,0.6267732661094375,True
sat_p01_s02->sat_p02_s02:radar:8,16.0,sat_p01_s02,sat_p02_s02,RADAR,0.05621827153164533,0.9984210009058962,0.6627306727340024,0.6616842216021207,0.6203000219296764,True
sat_p01_s02->sat_p02_s02:radar:9,18.0,sat_p01_s02,sat_p02_s02,RADAR,0.05127570571654417,0.9821794326644322,0.5737360051357625,0.563511704023401,0.6616842216021207,True
sat_p01_s02->sat_p02_s02:radar:10,20.0,sat_p01_s02,sat_p02_s02,RADAR,0.0647372887043404,0.9979067356655912,0.6562902791852037,0.654916490150766,0.563511704023401,True
sat_p01_s02->sat_p10_s01:infrared:0,0.0,sat_p01_s02,sat_p10_s01,INFRARED,0.0,1.0,0.5846460817410792,0.5846460817410792,1.0,True
sat_p01_s02->sat_p10_s01:infrared:1,2.0,sat_p01_s02,sat_p10_s01,INFRARED,0.00012840716770740426,0.9834714457136818,0.6162208503490765,0.6060356105717206,0.5846460817410792,True
sat_p01_s02->sat_p10_s01:infrared:2,4.0,sat_p01_s02,sat_p10_s01,INFRARED,5.537185019423104e-05,0.9999999984669791,0.6116287263765068,0.6116287254388671,0.6060356105717206,True
sat_p01_s02->sat_p10_s01:infrared:3,6.0,sat_p01_s02,sat_p10_s01,INFRARED,0.001036507444811777,0.9834709255266204,0.6279286069157162,0.6175495282080408,0.6116287254388671,True
sat_p01_s02->sat_p10_s01:infrared:4,8.0,sat_p01_s02,sat_p10_s01,INFRARED,0.001006973419380337,0.9999994930023949,0.6486862937415211,0.6486859648591237,0.6175495282080408,True
sat_p01_s02->sat_p10_s01:infrared:5,10.0,sat_p01_s02,sat_p10_s01,INFRARED,0.0018477190872589328,0.98346977500491,0.5986573839984086,0.5887614427459429,0.6486859648591237,True
sat_p01_s02->sat_p10_s01:infrared:6,12.0,sat_p01_s02,sat_p10_s01,INFRARED,0.0018364629324980172,0.9999983137033706,0.6057997478828108,0.6057987263247377,0.5887614427459429,True
sat_p01_s02->sat_p10_s01:infrared:7,14.0,sat_p01_s02,sat_p10_s01,INFRARED,0.002517049167757037,0.9834683384168994,0.6266696079251466,0.6163097180425138,0.6057987263247377,True
sat_p01_s02->sat_p10_s01:infrared:8,16.0,sat_p01_s02,sat_p10_s01,INFRARED,0.0025099595163868525,0.9999968500565741,0.6211597000553142,0.6211577434374006,0.6163097180425138,True
sat_p01_s02->sat_p10_s01:infrared:9,18.0,sat_p01_s02,sat_p10_s01,INFRARED,0.003069530090850458,0.9834668206911463,0.5995553555999237,0.5896427994002066,0.6211577434374006,True
sat_p01_s02->sat_p10_s01:infrared:10,20.0,sat_p01_s02,sat_p10_s01,INFRARED,0.0030653299127906966,0.999995301887299,0.6114266296935691,0.6114237571423544,0.5896427994002066,True
sat_p01_s02->sat_p10_s01:optical:0,0.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.0,1.0,0.593750307457299,0.593750307457299,1.0,True
sat_p01_s02->sat_p10_s01:optical:1,2.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.00012840716770740426,0.9834714457136818,0.5943353130033173,0.5845118095180661,0.593750307457299,True
sat_p01_s02->sat_p10_s01:optical:2,4.0,sat_p01_s02,sat_p10_s01,OPTICAL,5.537185019423104e-05,0.9999999984669791,0.5740878077615528,0.5740878068814641,0.5845118095180661,True
sat_p01_s02->sat_p10_s01:optical:3,6.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.001036507444811777,0.9834709255266204,0.608052415307041,0.5980018716507126,0.5740878068814641,True
sat_p01_s02->sat_p10_s01:optical:4,8.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.001006973419380337,0.9999994930023949,0.5824674403664554,0.582467145056858,0.5980018716507126,True
sat_p01_s02->sat_p10_s01:optical:5,10.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.0018477190872589328,0.98346977500491,0.6213579169785399,0.6110867308084041,0.582467145056858,True
sat_p01_s02->sat_p10_s01:optical:6,12.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.0018364629324980172,0.9999983137033706,0.6330450405079657,0.6330439730062476,0.6110867308084041,True
sat_p01_s02->sat_p10_s01:optical:7,14.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.002517049167757037,0.9834683384168994,0.6530451231365495,0.6422492021623618,0.6330439730062476,True
sat_p01_s02->sat_p10_s01:optical:8,16.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.0025099595163868525,0.9999968500565741,0.6022876769915002,0.6022857798193916,0.6422492021623618,True
sat_p01_s02->sat_p10_s01:optical:9,18.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.003069530090850458,0.9834668206911463,0.6285847519751036,0.6181922475598879,0.6022857798193916,True
sat_p01_s02->sat_p10_s01:optical:10,20.0,sat_p01_s02,sat_p10_s01,OPTICAL,0.0030653299127906966,0.999995301887299,0.5915316725374424,0.5915288934549786,0.6181922475598879,True
sat_p01_s02->sat_p10_s01:radar:0,0.0,sat_p01_s02,sat_p10_s01,RADAR,0.0,1.0,0.6429051800007559,0.6429051800007559,1.0,True
sat_p01_s02->sat_p10_s01:radar:1,2.0,sat_p01_s02,sat_p10_s01,RADAR,0.0013612433023906755,0.9834705426439357,0.6431256628338435,0.632495144615441,0.6429051800007559,True
sat_p01_s02->sat_p10_s01:radar:2,4.0,sat_p01_s02,sat_p10_s01,RADAR,0.1143450101854366,0.9934839315720198,0.6413561933030518,0.6371770724607803,0.632495144615441,True
sat_p01_s02->sat_p10_s01:radar:3,6.0,sat_p01_s02,sat_p10_s01,RADAR,0.06942641286541658,0.9811041282267609,0.6034994814687971,0.5920958326517464,0.6371770724607803,True
sat_p01_s02->sat_p10_s01:radar:4,8.0,sat_p01_s02,sat_p10_s01,RADAR,0.031594797466208885,0.9995010089240121,0.6230358588130542,0.6227249694794861,0.5920958326517464,True
sat_p01_s02->sat_p10_s01:radar:5,10.0,sat_p01_s02,sat_p10_s01,RADAR,0.01936622788832535,0.9832870452435819,0.5881626453903328,0.578332709708509,0.6227249694794861,True
sat_p01_s02->sat_p10_s01:radar:6,12.0,sat_p01_s02,sat_p10_s01,RADAR,0.002424324203721438,0.9999970613303956,0.6466286376881989,0.646626737460276,0.578332709708509,True
sat_p01_s02->sat_p10_s01:radar:7,14.0,sat_p01_s02,sat_p10_s01,RADAR,0.04621805933212984,0.9824216134487663,0.5709133532260734,0.5608776176158045,0.646626737460276,True
sat_p01_s02->sat_p10_s01:radar:8,16.0,sat_p01_s02,sat_p10_s01,RADAR,0.048740741850939025,0.9988128752326715,0.6169807009154573,0.6162482678444369,0.5608776176158045,True
sat_p01_s02->sat_p10_s01:radar:9,18.0,sat_p01_s02,sat_p10_s01,RADAR,0.0500169332089682,0.9822420507547052,0.6431674713692446,0.6317461360564449,0.6162482678444369,True
sat_p01_s02->sat_p10_s01:radar:10,20.0,sat_p01_s02,sat_p10_s01,RADAR,0.06473257206778596,0.9979070403576379,0.6323543932538944,0.6310309010291436,0.6317461360564449,True
sat_p02_s01->sat_p01_s01:infrared:0,0.0,sat_p02_s01,sat_p01_s01,INFRARED,0.0,1.0,0.6597283367569833,0.6597283367569833,1.0,True
sat_p02_s01->sat_p01_s01:infrared:1,2.0,sat_p02_s01,sat_p01_s01,INFRARED,3.734098549576694e-05,0.9834714531359662,0.5877702497300018,0.5780552616120546,0.6597283367569833,True
sat_p02_s01->sat_p01_s01:infrared:2,4.0,sat_p02_s01,sat_p01_s01,INFRARED,8.333484629923678e-05,0.9999999965276517,0.6498358595050255,0.6498358572485691,0.5780552616120546,True
sat_p02_s01->sat_p01_s01:infrared:3,6.0,sat_p02_s01,sat_p01_s01,INFRARED,0.0009907705195684872,0.9834709711210519,0.6772126447190878,0.6660189773573372,0.6498358572485691,True
sat_p02_s01->sat_p01_s01:infrared:4,8.0,sat_p02_s01,sat_p01_s01,INFRARED,0.0009909385640073302,0.9999995090205017,0.6579554095136555,0.6579550864710386,0.6660189773573372,True
sat_p02_s01->sat_p01_s01:infrared:5,10.0,sat_p02_s01,sat_p01_s01,INFRARED,0.0018727584857502564,0.9834697291956165,0.6101188839192038,0.6000334535451511,0.6579550864710386,True
sat_p02_s01->sat_p01_s01:infrared:6,12.0,sat_p02_s01,sat_p01_s01,INFRARED,0.0018497051765776263,0.9999982892968431,0.6000156571048623,0.6000146306561834,0.6000334535451511,True
